atcf_code,storm_name,year,month,day,hour,minute,record_id,system_status,latitude,longitude,max_sus_wind,min_pressure,delta_distance,azimuth,x,y,day_of_year,minute_of_day,aday,vper,landfall
AL021975,AMY,1975,6,27,6,0,,TD,28.5,-79.0,25.0,1013.0,110.81946665981843,0.0,0.20047855278798207,-0.09937271450171517,178,360,518.012824668342,25325.0,0
AL021975,AMY,1975,6,27,12,0,,TD,29.5,-79.0,25.0,1013.0,110.8357797832052,0.0,0.8431368018930695,-0.4179239700967741,178,720,518.012824668342,25325.0,0
AL021975,AMY,1975,6,27,18,0,,TD,30.5,-79.0,25.0,1013.0,110.85245682532575,0.0,0.7106189636622466,-0.35223785493999393,178,1080,518.012824668342,25325.0,0
AL021975,AMY,1975,6,28,0,0,,TD,31.5,-78.8,25.0,1012.0,112.502730026637,9.723715392497509,-0.08114810613694029,0.021603103460221283,179,0,438.975869434329,25300.0,0
AL021975,AMY,1975,6,28,6,0,,TD,32.4,-78.7,25.0,1012.0,100.24416985904884,5.3854378943897885,-0.822098503625907,0.13282473680050302,179,360,438.975869434329,25300.0,0
AL021975,AMY,1975,6,28,12,0,,TD,33.3,-78.0,25.0,1011.0,119.39860640615233,33.096186951386606,-0.8160527348241552,-0.4889624762981998,179,720,438.975869434329,25275.0,0
AL021975,AMY,1975,6,28,18,0,,TD,34.0,-77.0,30.0,1006.0,120.9654070495252,49.79466972259641,-0.016388352991004978,-0.5288288103330056,179,1080,438.975869434329,30180.0,0
AL021975,AMY,1975,6,29,0,0,,TS,34.4,-75.8,35.0,1004.0,119.1684061254005,67.80410619441352,0.14437680560664082,-0.061344063407018375,180,0,372.82573463831784,35140.0,0
AL021975,AMY,1975,6,29,6,0,,TS,34.0,-74.8,40.0,1002.0,102.29109648366553,115.42493866442334,0.43720075543560766,0.29796642126003675,180,360,372.82573463831784,40080.0,0
AL021975,AMY,1975,6,29,12,0,,TS,33.8,-73.8,45.0,1000.0,95.11563507164682,103.20821198246367,-0.01884355585119868,0.6868627155149741,180,720,372.82573463831784,45000.0,0
AL021975,AMY,1975,6,29,18,0,,TS,33.8,-72.8,50.0,998.0,92.60037329569185,89.72184729380193,-0.5881562623293691,0.35525720350820184,180,1080,372.82573463831784,49900.0,0
AL021975,AMY,1975,6,30,0,0,,TS,34.3,-71.6,50.0,998.0,123.90152448504725,63.0737295345094,-0.20172198603146416,-0.1554713189446904,181,0,317.34832891785044,49900.0,0
AL021975,AMY,1975,6,30,6,0,,TS,35.6,-70.8,55.0,998.0,161.67626837622856,26.64235376080307,0.098385654989713,0.8580351872053248,181,360,317.34832891785044,54890.0,0
AL021975,AMY,1975,6,30,12,0,,TS,35.9,-70.5,60.0,987.0,42.94461131624078,39.098569155065505,-0.17997205225894103,0.9572782190031889,181,720,317.34832891785044,59220.0,0
AL021975,AMY,1975,6,30,18,0,,TS,36.2,-70.2,60.0,987.0,42.88140385852624,38.990684049185205,-0.4657474126774254,0.8820144433681298,181,1080,317.34832891785044,59220.0,0
AL021975,AMY,1975,7,1,0,0,,TS,36.2,-69.8,60.0,984.0,35.97416515613706,89.88187855269386,-0.7724543773036492,0.6310185145541607,182,0,270.72704820390584,59040.0,0
AL021975,AMY,1975,7,1,6,0,,TS,36.2,-69.4,60.0,984.0,35.974165156135804,89.88187855269386,-0.9572077804849247,0.2803986371308395,182,360,270.72704820390584,59040.0,0
AL021975,AMY,1975,7,1,12,0,,TS,36.2,-68.3,60.0,984.0,98.92849428001917,89.67516035702135,-0.6840790657885409,-0.7258828848206748,182,720,270.72704820390584,59040.0,0
AL021975,AMY,1975,7,1,18,0,,TS,36.7,-67.2,60.0,984.0,113.14945857380246,60.310311263423614,0.283820338645356,-0.7916511270751045,182,1080,270.72704820390584,59040.0,0
AL021975,AMY,1975,7,2,0,0,,TS,37.4,-66.7,60.0,984.0,89.51571948984031,29.641929161028184,0.22025754067837244,-0.19574975991055965,183,0,231.46865029043218,59040.0,0
AL021975,AMY,1975,7,2,6,0,,TS,37.3,-65.9,60.0,984.0,71.74500202103808,98.65612037345187,0.38755250525740254,0.028515366560898397,183,360,231.46865029043218,59040.0,0
AL021975,AMY,1975,7,2,12,0,,TS,37.3,-65.1,60.0,981.0,70.92838703787783,89.7576021373531,0.2495547587504385,0.2978799973922416,183,720,231.46865029043218,58860.0,0
AL021975,AMY,1975,7,2,18,0,,TS,37.3,-64.1,60.0,986.0,88.66033502616858,89.69700091206848,-0.11582236316699392,0.3709383380722521,183,1080,231.46865029043218,59160.0,0
AL021975,AMY,1975,7,3,0,0,,TS,37.7,-62.8,55.0,986.0,123.2264211991951,68.48862492707597,0.0008877062737905379,2.8285738728114238e-05,184,0,198.34342540938118,54230.0,0
AL021975,AMY,1975,7,3,6,0,,TS,38.2,-61.2,55.0,986.0,151.17935839087934,67.97294186320588,-0.02930152725150933,0.4793099745013508,184,360,198.34342540938118,54230.0,0
AL021975,AMY,1975,7,3,12,0,,TS,39.3,-59.6,55.0,986.0,185.08027987389585,48.220233679455696,-0.9954784111845654,-0.09009710268994886,184,720,198.34342540938118,54230.0,0
AL021975,AMY,1975,7,3,18,0,,TS,40.5,-58.0,50.0,986.0,190.97729387234443,45.25075108926733,0.03982418251717713,-0.3317695638180558,184,1080,198.34342540938118,49300.0,0
AL021975,AMY,1975,7,4,0,0,,TS,42.5,-54.8,50.0,986.0,347.4152029834185,49.20968921986801,0.17624256240303382,-0.9803707874547435,185,0,170.33682115562718,49300.0,0
AL021975,AMY,1975,7,4,6,0,,TS,44.5,-51.6,50.0,986.0,341.0598276498157,48.258369021655,0.11584593763893346,-0.4811353201145411,185,360,170.33682115562718,49300.0,0
AL021975,AMY,1975,7,4,12,0,,EX,47.0,-48.0,45.0,995.0,394.47720484908257,43.95333335903686,-0.07910463503588776,0.09493562756333998,185,720,170.33682115562718,44775.0,0
AL041975,BLANCHE,1975,7,24,6,0,,TD,26.0,-69.5,20.0,1014.0,110.12916114385231,-89.75888985402044,0.7067489673990258,-0.2863586692912638,205,360,12.935817315543076,20280.0,0
AL041975,BLANCHE,1975,7,24,12,0,,TD,26.1,-70.5,25.0,1014.0,100.68640766167472,-83.46334937313802,0.15212471248842357,-0.8091571552885684,205,720,12.935817315543076,25350.0,0
AL041975,BLANCHE,1975,7,24,18,0,,TD,26.5,-71.5,30.0,1013.0,109.25342215977011,-65.84822603209794,-0.7121426982622706,-0.6723051170545945,205,1080,12.935817315543076,30390.0,0
AL041975,BLANCHE,1975,7,25,0,0,,TD,27.2,-72.5,30.0,1012.0,126.06759465768283,-51.80663729413592,-0.853362336775127,0.21188166300634226,206,0,11.639965104975323,30360.0,0
AL041975,BLANCHE,1975,7,25,6,0,,TD,28.0,-73.6,30.0,1010.0,140.18322593354895,-50.520117674343375,-0.06108163688577282,0.26392987662267897,206,360,11.639965104975323,30300.0,0
AL041975,BLANCHE,1975,7,25,12,0,,TD,28.9,-74.3,30.0,1007.0,121.03663824441962,-34.338911579812475,-0.26656950777051514,-0.5214516195191614,206,720,11.639965104975323,30210.0,0
AL041975,BLANCHE,1975,7,25,18,0,,TD,29.9,-74.9,30.0,1006.0,125.20939876113731,-27.570765597068718,-0.8771107727420577,-0.477146747447955,206,1080,11.639965104975323,30180.0,0
AL041975,BLANCHE,1975,7,26,0,0,,TD,31.0,-75.0,30.0,1005.0,122.32372699172124,-4.478199506830903,-0.3724222125931331,-0.15667837887035357,207,0,10.497226832726867,30150.0,0
AL041975,BLANCHE,1975,7,26,6,0,,TS,32.2,-74.6,35.0,1004.0,138.3644890119502,15.818817243592658,0.49289205820736465,0.5057002286043343,207,360,10.497226832726867,35140.0,0
AL041975,BLANCHE,1975,7,26,12,0,,TS,33.4,-73.5,35.0,1003.0,168.2996163083461,37.45000642324432,-0.2945318154372904,0.8671552562501444,207,720,10.497226832726867,35105.0,0
